ip,name
209.143.0.10,got it from https://public-dns.info/nameservers-all.txt
202.130.97.66,got it from https://public-dns.info/nameservers-all.txt
212.36.64.16,got it from https://public-dns.info/nameservers-all.txt
168.95.192.1,got it from https://public-dns.info/nameservers-all.txt
193.22.119.195,got it from https://public-dns.info/nameservers-all.txt
62.20.57.226,got it from https://public-dns.info/nameservers-all.txt
80.244.198.5,got it from https://public-dns.info/nameservers-all.txt
194.1.154.37,got it from https://public-dns.info/nameservers-all.txt
8.8.4.4,got it from https://public-dns.info/nameservers-all.txt
217.69.169.25,got it from https://public-dns.info/nameservers-all.txt
85.88.19.10,got it from https://public-dns.info/nameservers-all.txt
85.88.19.11,got it from https://public-dns.info/nameservers-all.txt
195.186.1.110,got it from https://public-dns.info/nameservers-all.txt
213.33.99.70,got it from https://public-dns.info/nameservers-all.txt
80.120.17.70,got it from https://public-dns.info/nameservers-all.txt
082.216.111.122,got it from https://public-dns.info/nameservers-all.txt
194.2.0.50,got it from https://public-dns.info/nameservers-all.txt
203.112.2.4,got it from https://public-dns.info/nameservers-all.txt
66.28.0.45,got it from https://public-dns.info/nameservers-all.txt
66.28.0.61,got it from https://public-dns.info/nameservers-all.txt
200.221.11.100,got it from https://public-dns.info/nameservers-all.txt
74.82.42.42,got it from https://public-dns.info/nameservers-all.txt
216.66.80.30,got it from https://public-dns.info/nameservers-all.txt
80.67.169.12,got it from https://public-dns.info/nameservers-all.txt
80.67.169.40,got it from https://public-dns.info/nameservers-all.txt
195.214.240.136,got it from https://public-dns.info/nameservers-all.txt
206.165.6.12,got it from https://public-dns.info/nameservers-all.txt
209.130.136.2,got it from https://public-dns.info/nameservers-all.txt
67.17.215.133,got it from https://public-dns.info/nameservers-all.txt
67.17.215.132,got it from https://public-dns.info/nameservers-all.txt
212.112.39.22,got it from https://public-dns.info/nameservers-all.txt
212.112.39.25,got it from https://public-dns.info/nameservers-all.txt
212.214.229.170,got it from https://public-dns.info/nameservers-all.txt
195.149.138.3,got it from https://public-dns.info/nameservers-all.txt
195.84.194.3,got it from https://public-dns.info/nameservers-all.txt
212.97.32.2,got it from https://public-dns.info/nameservers-all.txt
194.98.65.165,got it from https://public-dns.info/nameservers-all.txt
195.129.12.114,got it from https://public-dns.info/nameservers-all.txt
195.129.12.83,got it from https://public-dns.info/nameservers-all.txt
203.2.193.67,got it from https://public-dns.info/nameservers-all.txt
210.80.58.66,got it from https://public-dns.info/nameservers-all.txt
210.80.58.67,got it from https://public-dns.info/nameservers-all.txt
88.151.176.11,got it from https://public-dns.info/nameservers-all.txt
165.87.201.244,got it from https://public-dns.info/nameservers-all.txt
168.215.210.50,got it from https://public-dns.info/nameservers-all.txt
212.94.34.34,got it from https://public-dns.info/nameservers-all.txt
216.17.128.1,got it from https://public-dns.info/nameservers-all.txt
204.95.160.2,got it from https://public-dns.info/nameservers-all.txt
198.60.22.2,got it from https://public-dns.info/nameservers-all.txt
199.80.64.202,got it from https://public-dns.info/nameservers-all.txt
202.180.160.1,got it from https://public-dns.info/nameservers-all.txt
203.253.64.1,got it from https://public-dns.info/nameservers-all.txt
206.51.143.55,got it from https://public-dns.info/nameservers-all.txt
207.179.3.25,got it from https://public-dns.info/nameservers-all.txt
209.97.224.3,got it from https://public-dns.info/nameservers-all.txt
212.41.2.228,got it from https://public-dns.info/nameservers-all.txt
212.73.128.182,got it from https://public-dns.info/nameservers-all.txt
216.52.126.1,got it from https://public-dns.info/nameservers-all.txt
216.52.190.33,got it from https://public-dns.info/nameservers-all.txt
216.52.41.33,got it from https://public-dns.info/nameservers-all.txt
216.52.97.33,got it from https://public-dns.info/nameservers-all.txt
217.115.16.2,got it from https://public-dns.info/nameservers-all.txt
218.223.32.1,got it from https://public-dns.info/nameservers-all.txt
64.119.80.100,got it from https://public-dns.info/nameservers-all.txt
64.94.1.33,got it from https://public-dns.info/nameservers-all.txt
66.199.31.131,got it from https://public-dns.info/nameservers-all.txt
69.25.1.1,got it from https://public-dns.info/nameservers-all.txt
69.25.1.33,got it from https://public-dns.info/nameservers-all.txt
79.141.83.250,got it from https://public-dns.info/nameservers-all.txt
81.17.66.14,got it from https://public-dns.info/nameservers-all.txt
2001:4860:4860::8888,got it from https://public-dns.info/nameservers-all.txt
2001:450:2005:1::4,got it from https://public-dns.info/nameservers-all.txt
2600::2,got it from https://public-dns.info/nameservers-all.txt
2600::1,got it from https://public-dns.info/nameservers-all.txt
2001:1bc0::ffff:bbbb:2,got it from https://public-dns.info/nameservers-all.txt
2001:1bc0::ffff:aaaa:2,got it from https://public-dns.info/nameservers-all.txt
2a02:940:0:4293::100,got it from https://public-dns.info/nameservers-all.txt
2001:840:0:200::1,got it from https://public-dns.info/nameservers-all.txt
2001:418:3ff::1:53,got it from https://public-dns.info/nameservers-all.txt
2001:450:2005:3::5,got it from https://public-dns.info/nameservers-all.txt
2001:418:3ff::53,got it from https://public-dns.info/nameservers-all.txt
2001:4860:4860::8844,got it from https://public-dns.info/nameservers-all.txt
2001:470:20::2,got it from https://public-dns.info/nameservers-all.txt
2001:470:0:69::2,got it from https://public-dns.info/nameservers-all.txt
2001:910:800::12,got it from https://public-dns.info/nameservers-all.txt
2001:910:800::40,got it from https://public-dns.info/nameservers-all.txt
2001:450:2005:2::5,got it from https://public-dns.info/nameservers-all.txt
2001:450:2005:2::4,got it from https://public-dns.info/nameservers-all.txt
2a02:2178:1:2::2,got it from https://public-dns.info/nameservers-all.txt
2001:4f8:0:2::14,got it from https://public-dns.info/nameservers-all.txt
12.127.16.67,got it from https://public-dns.info/nameservers-all.txt
12.127.17.71,got it from https://public-dns.info/nameservers-all.txt
61.63.0.66,got it from https://public-dns.info/nameservers-all.txt
61.8.0.113,got it from https://public-dns.info/nameservers-all.txt
62.40.32.33,got it from https://public-dns.info/nameservers-all.txt
62.40.32.34,got it from https://public-dns.info/nameservers-all.txt
64.119.60.5,got it from https://public-dns.info/nameservers-all.txt
64.119.60.9,got it from https://public-dns.info/nameservers-all.txt
66.151.145.1,got it from https://public-dns.info/nameservers-all.txt
66.182.208.5,got it from https://public-dns.info/nameservers-all.txt
66.218.44.5,got it from https://public-dns.info/nameservers-all.txt
66.242.160.5,got it from https://public-dns.info/nameservers-all.txt
